System,SCF Energy,S1,S2,S3,T1,T2,T3,Function
COH_CCHHH_COCHHH_CCFFF_CF_CH,-897.46761,3.16,4.95,4.97,2.05,2.96,4.92,-0.94
CSiHHH_CCHHH_COCHHH_CCFFF_CF_CH,-1112.914715,2.56,4.84,5.18,1.61,2.95,4.94,-0.67
CNMeMe_CCHHH_COCHHH_CCFFF_CF_CH,-956.182283,2.79,3.9,4.78,1.7,2.51,4.5,-0.61
CCN_CCHHH_COCHHH_CCFFF_CNOO_CH,-1019.716271,2.32,3.94,4.33,1.39,2.59,2.72,-0.46
CCN_CCHHH_COCHHH_CCFFF_CCN_CH,-907.474897,2.26,4.58,5.22,1.35,2.55,4.5,-0.45
CCN_CCHHH_COCHHH_CCFFF_CCFFF_CH,-1152.28279,2.38,4.72,5.38,1.47,2.68,4.91,-0.57
CCN_CCHHH_COCHHH_CCFFF_CCl_CH,-1274.832618,2.18,4.64,5.19,1.31,2.69,4.62,-0.45
CCN_CCHHH_COCHHH_CCFFF_CBFF_CH,-1039.31658,2.42,4.66,5.39,1.5,2.66,4.78,-0.57
CCN_CCHHH_COCHHH_CCFFF_CBHH_CH,-840.67468,2.42,4.52,5.01,1.47,2.6,4.17,-0.52
CCN_CCHHH_COCHHH_CCFFF_CH_CH,-815.24469,2.39,4.73,5.54,1.48,2.71,4.95,-0.58
CCN_CCHHH_COCHHH_CCFFF_CSiHHH_CH,-1105.917228,2.37,4.71,5.07,1.49,2.72,4.83,-0.61
CCN_CCHHH_COCHHH_CCFFF_CCHHH_CH,-854.547623,2.25,4.72,5.32,1.39,2.76,4.83,-0.53
CCN_CCHHH_COCHHH_CCFFF_CSH_CH,-1213.420791,2.2,3.85,4.69,1.34,2.66,3.67,-0.48
CCN_CCHHH_COCHHH_CCFFF_COCHHH_CH,-929.754994,2.18,4.72,5,1.26,2.9,4.63,-0.35
CCN_CCHHH_COCHHH_CCFFF_COH_CH,-890.46299,2.01,4.61,5.11,1.13,2.77,4.61,-0.26
CCN_CCHHH_COCHHH_CCFFF_CNHH_CH,-870.596887,1.84,4.49,4.54,0.95,2.77,4.33,-0.07
CCN_CCHHH_COCHHH_CCFFF_CNMeMe_CH,-949.182386,2.06,4.12,4.73,1.22,2.73,3.73,-0.37
CCl_CCN_CNOO_CSiHHH_COH_CF,-1453.58357,2.74,3.79,4.06,1.79,2.41,2.62,-0.84
CCl_CCN_CCN_CSiHHH_COH_CF,-1341.344745,2.79,4.32,4.43,1.79,2.57,4.23,-0.79
CCl_CCN_CCFFF_CSiHHH_COH_CF,-1586.156472,2.93,4.51,4.56,1.94,2.73,4.3,-0.96
CCl_CCN_CCl_CSiHHH_COH_CF,-1708.710766,3,4.49,4.76,2,2.7,4.55,-1.01
CCl_CCN_CF_CSiHHH_COH_CF,-1348.347259,3.15,4.68,4.88,2.13,2.8,4.67,-1.11
CCl_CCN_CBFF_CSiHHH_COH_CF,-1473.187043,2.65,4.34,4.36,1.69,2.6,4.14,-0.73
CCl_CCN_CBHH_CSiHHH_COH_CF,-1274.545431,2.49,4.19,4.24,1.55,2.5,4.05,-0.61
CCl_CCN_CH_CSiHHH_COH_CF,-1249.113841,2.9,4.73,5.02,1.92,2.76,4.52,-0.94
CCl_CCN_CSiHHH_CSiHHH_COH_CF,-1539.791527,2.84,4.51,4.61,1.88,2.7,4.4,-0.92
CCl_CCN_CCHHH_CSiHHH_COH_CF,-1288.427723,2.99,4.61,4.87,2.03,2.75,4.66,-1.07
CCl_CCN_CSH_CSiHHH_COH_CF,-1647.305127,2.96,4.25,4.92,1.96,2.63,4.49,-0.96
CCl_CCN_COCHHH_CSiHHH_COH_CF,-1363.625574,3,4.54,4.76,1.96,2.79,4.66,-0.91
CCl_CCN_COH_CSiHHH_COH_CF,-1324.344173,3.16,4.62,4.97,2.15,2.78,4.79,-1.15
CCl_CCN_CNHH_CSiHHH_COH_CF,-1304.483036,3.11,4.55,4.66,2.05,2.85,4.59,-0.99
CCl_CCN_CNMeMe_CSiHHH_COH_CF,-1383.068755,3.01,4.33,4.64,1.93,2.79,4.37,-0.85
CCl_CCN_CBHH_CSiHHH_CNOO_CF,-1403.800121,3.22,3.74,3.95,2.01,2.34,2.76,-0.81
CCl_CCN_CBHH_CSiHHH_CCN_CF,-1291.559284,3.02,4.01,4.03,1.91,2.4,3.82,-0.8
CCl_CCN_CBHH_CSiHHH_CCFFF_CF,-1536.366513,3.18,3.97,4.14,2.04,2.39,3.88,-0.89
CCl_CCN_CBHH_CSiHHH_CCl_CF,-1658.917169,2.73,4.11,4.14,1.75,2.42,3.95,-0.77
CCl_CCN_CBHH_CSiHHH_CF_CF,-1298.553758,2.77,4.17,4.2,1.76,2.44,4,-0.75
CCl_CCN_CBHH_CSiHHH_CBFF_CF,-1423.400576,3.17,3.89,4.15,2,2.36,3.91,-0.84
CCl_CCN_CBHH_CSiHHH_CBHH_CF,-1224.759302,3.11,3.83,4.09,1.92,2.33,3.84,-0.72
CCl_CCN_CBHH_CSiHHH_CH_CF,-1199.325218,2.96,4.18,4.25,1.9,2.45,4.07,-0.84
CCl_CCN_CBHH_CSiHHH_CSiHHH_CF,-1489.999916,2.98,4.03,4.22,1.93,2.4,4,-0.89
CCl_CCN_CBHH_CSiHHH_CCHHH_CF,-1238.630402,2.75,4.14,4.22,1.77,2.43,4.04,-0.78
CCl_CCN_CBHH_CSiHHH_CSH_CF,-1597.506129,2.94,3.71,4.06,1.89,2.39,3.65,-0.84
CCl_CCN_CBHH_CSiHHH_COCHHH_CF,-1313.834198,2.46,4.17,4.27,1.55,2.5,4.07,-0.64
CCl_CCN_CBHH_CSiHHH_CNHH_CF,-1254.668828,2.79,3.87,4.13,1.79,2.41,3.78,-0.78
CCl_CCN_CBHH_CSiHHH_CNMeMe_CF,-1333.269791,2.88,3.49,4.18,1.85,2.4,3.45,-0.82
CCl_CCN_CBHH_CSiHHH_COH_CNOO,-1379.803632,2.4,3.9,3.93,1.51,2.6,2.96,-0.61
CCl_CCN_CBHH_CSiHHH_COH_CCN,-1267.553167,2.71,4.21,4.22,1.75,2.6,3.65,-0.78
CCl_CCN_CBHH_CSiHHH_COH_CCFFF,-1512.366123,2.83,4.24,4.3,1.79,2.71,3.94,-0.76
CCl_CCN_CBHH_CSiHHH_COH_CCl,-1634.911845,2.51,4.15,4.25,1.61,2.5,3.91,-0.71
CCl_CCN_CBHH_CSiHHH_COH_CBFF,-1399.396503,2.78,4.23,4.3,1.76,2.74,3.53,-0.74
CCl_CCN_CBHH_CSiHHH_COH_CBHH,-1200.737062,2.65,4.21,4.26,1.69,2.59,3.38,-0.73
CCl_CCN_CBHH_CSiHHH_COH_CH,-1175.311153,2.6,4.25,4.27,1.62,2.61,4.07,-0.64
CCl_CCN_CBHH_CSiHHH_COH_CSiHHH,-1465.990935,2.62,4.21,4.25,1.65,2.6,3.8,-0.68
CCl_CCN_CBHH_CSiHHH_COH_CCHHH,-1214.619807,2.5,4.16,4.28,1.59,2.49,3.9,-0.67
CCl_CCN_CBHH_CSiHHH_COH_CSH,-1573.501096,2.59,4.03,4.26,1.66,2.57,3.82,-0.73
CCl_CCN_CBHH_CSiHHH_COH_COCHHH,-1289.819488,2.37,4.09,4.26,1.49,2.44,3.86,-0.61
CCl_CCN_CBHH_CSiHHH_COH_COH,-1250.529555,2.54,4.07,4.26,1.6,2.35,4.07,-0.65
CCl_CCN_CBHH_CSiHHH_COH_CNHH,-1230.665406,2.15,3.87,4.22,1.28,2.25,3.76,-0.42
CCl_CCN_CBHH_CSiHHH_COH_CNMeMe,-1309.249969,2.22,3.7,4.31,1.48,2.25,3.72,-0.75
CSiHHH_CCN_CCl_CNOO_COH_CCFFF,-1691.405119,2.55,3.86,4.2,1.68,2.83,2.89,-0.81
CSiHHH_CCN_CCl_CCN_COH_CCFFF,-1579.163471,2.51,4.51,4.7,1.63,2.75,4.25,-0.76
CSiHHH_CCN_CCl_CCFFF_COH_CCFFF,-1823.965941,2.74,4.6,5.12,1.8,2.91,4.34,-0.85
CSiHHH_CCN_CCl_CCl_COH_CCFFF,-1946.525657,2.95,4.66,5.06,1.94,2.99,4.35,-0.92
CSiHHH_CCN_CCl_CF_COH_CCFFF,-1586.166915,3.16,4.89,5.62,2.06,3.09,4.4,-0.96
CSiHHH_CCN_CCl_CBFF_COH_CCFFF,-1711.006643,3.17,4.68,4.88,2.07,3.14,4.38,-0.97
CSiHHH_CCN_CCl_CBHH_COH_CCFFF,-1512.367631,3.36,4.7,4.71,2.2,3.12,4.4,-1.04
CSiHHH_CCN_CCl_CH_COH_CCFFF,-1486.926221,3.02,4.92,5.21,1.99,3.13,4.43,-0.95
CSiHHH_CCN_CCl_CSiHHH_COH_CCFFF,-1777.596376,2.85,4.18,4.77,1.89,3.01,3.97,-0.92
