System,SCF Energy,S1,S2,S3,T1,T2,T3,Function
COH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1123.541216,3.42,3.85,4.92,1.73,2.59,4.23,-0.05
COH_CBFF_CNMeMe_CSiHHH_CCN_CNOO,-1252.791625,2.99,3.74,4.14,1.65,2.65,2.73,-0.3
COH_CBFF_CNMeMe_CSiHHH_CCN_CCN,-1140.552057,3.07,3.96,4.9,1.64,2.68,3.93,-0.21
COH_CBFF_CNMeMe_CSiHHH_CCN_CCFFF,-1385.359155,3.14,4.14,4.97,1.7,2.85,3.98,-0.26
COH_CBFF_CNMeMe_CSiHHH_CCN_CCl,-1507.910634,3.29,3.9,5.1,1.75,2.64,4.1,-0.21
COH_CBFF_CNMeMe_CSiHHH_CCN_CF,-1147.549936,3.39,4.03,5.06,1.77,2.7,4.27,-0.14
COH_CBFF_CNMeMe_CSiHHH_CCN_CBFF,-1272.389193,3.04,4.06,4.68,1.66,2.8,3.79,-0.29
COH_CBFF_CNMeMe_CSiHHH_CCN_CBHH,-1073.747341,2.87,3.86,4.3,1.61,2.66,3.42,-0.35
COH_CBFF_CNMeMe_CSiHHH_CCN_CH,-1048.317068,3.29,4.12,5.02,1.76,2.81,4.23,-0.24
COH_CBFF_CNMeMe_CSiHHH_CCN_CSiHHH,-1338.990281,3.23,4.05,4.97,1.75,2.8,4.03,-0.26
COH_CBFF_CNMeMe_CSiHHH_CCN_CCHHH,-1087.623343,3.36,3.99,4.98,1.81,2.72,4.14,-0.27
COH_CBFF_CNMeMe_CSiHHH_CCN_CSH,-1446.500522,3.32,3.6,5.02,1.72,2.47,4.1,-0.11
COH_CBFF_CNMeMe_CSiHHH_CCN_COCHHH,-1162.823187,3.36,3.97,4.98,1.78,2.69,4.2,-0.2
COH_CBFF_CNMeMe_CSiHHH_CCN_CNHH,-1103.673799,3.48,3.55,4.98,1.84,2.41,4.17,-0.21
COH_CBFF_CNMeMe_CSiHHH_CCN_CNMeMe,-1182.250718,3.39,3.67,5.01,1.94,2.43,4.32,-0.49
CNOO_CBFF_CNMeMe_CSiHHH_CCN_COH,-1252.792703,2.73,3.72,3.79,1.68,2.28,2.66,-0.63
CCN_CBFF_CNMeMe_CSiHHH_CCN_COH,-1140.549708,2.81,3.99,5.14,1.76,2.31,4.29,-0.71
CCFFF_CBFF_CNMeMe_CSiHHH_CCN_COH,-1385.357898,3.02,4.18,5.29,1.92,2.48,4.49,-0.82
CCl_CBFF_CNMeMe_CSiHHH_CCN_COH,-1507.911298,3.2,4.09,5.21,2.04,2.44,4.52,-0.88
CF_CBFF_CNMeMe_CSiHHH_CCN_COH,-1147.548934,3.39,4.28,5.28,2.15,2.52,4.66,-0.91
CBFF_CBFF_CNMeMe_CSiHHH_CCN_COH,-1272.390413,3.04,4.01,4.7,1.82,2.43,4.13,-0.59
CBHH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1073.746746,3.31,3.98,4.7,1.85,2.54,4.28,-0.39
CH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1048.317004,3.26,4.15,5.18,1.89,2.54,4.33,-0.53
CCHHH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1087.613337,3.32,4.03,5.15,2.04,2.47,4.49,-0.77
CSH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1446.49924,3.14,3.85,4.81,2,2.43,4.21,-0.87
COCHHH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1162.82733,3.07,4.2,5.14,1.96,2.47,4.58,-0.86
CNHH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1103.66859,3.52,3.68,4.85,1.86,2.58,4.39,-0.2
CSiHHH_CBFF_CNMeMe_CSiHHH_CCN_COH,-1338.984706,3.12,3.9,4.48,1.87,2.44,4.11,-0.62
CNMeMe_CBFF_CNMeMe_CSiHHH_CCN_COH,-1182.281479,2.87,4.29,5.03,1.86,2.57,4.6,-0.86
COH_CBFF_CNMeMe_CSiHHH_CNOO_COH,-1235.796931,3.12,3.7,4.31,1.86,2.25,3.25,-0.6
COH_CBFF_CNMeMe_CSiHHH_CCFFF_COH,-1368.346546,3.46,4.24,5.2,2.13,2.66,4.8,-0.8
COH_CBFF_CNMeMe_CSiHHH_CCl_COH,-1490.898242,3.58,3.92,4.83,1.97,2.72,4.3,-0.35
COH_CBFF_CNMeMe_CSiHHH_CF_COH,-1130.535975,3.63,4.03,4.71,2.05,2.81,4.35,-0.47
COH_CBFF_CNMeMe_CSiHHH_CBFF_COH,-1255.379988,3.41,4.03,5.09,2.02,2.52,4.52,-0.64
COH_CBFF_CNMeMe_CSiHHH_CBHH_COH,-1056.728585,3.33,3.64,4.8,1.86,2.32,3.96,-0.39
COH_CBFF_CNMeMe_CSiHHH_CH_COH,-1031.29959,3.71,3.97,4.7,2.01,2.82,4.41,-0.3
COH_CBFF_CNMeMe_CSiHHH_CSiHHH_COH,-1321.969587,3.41,4.19,5.01,2.21,2.58,4.77,-1.02
COH_CBFF_CNMeMe_CSiHHH_CCHHH_COH,-1070.602642,3.62,3.91,4.66,2.03,2.74,4.28,-0.44
COH_CBFF_CNMeMe_CSiHHH_CSH_COH,-1429.482842,3.41,4.13,4.87,2.14,2.55,4.78,-0.88
COH_CBFF_CNMeMe_CSiHHH_COCHHH_COH,-1145.809281,3.37,4.01,4.83,2.28,2.54,4.27,-1.19
COH_CBFF_CNMeMe_CSiHHH_COH_COH,-1106.520687,3.5,3.98,4.62,2.06,2.68,4.26,-0.62
COH_CBFF_CNMeMe_CSiHHH_CNHH_COH,-1086.653329,3.6,3.9,4.65,1.98,2.69,4.33,-0.37
COH_CBFF_CNMeMe_CSiHHH_CNMeMe_COH,-1165.228625,2.91,4.29,4.59,1.97,2.52,4.52,-1.04
CNOO_CNOO_CNMeMe_CF_CCN_CH,-966.519107,2.79,3.74,3.86,1.56,2.34,2.62,-0.33
CCN_CNOO_CNMeMe_CF_CCN_CH,-854.27797,2.87,4.03,4.12,1.56,2.6,3.08,-0.25
CCFFF_CNOO_CNMeMe_CF_CCN_CH,-1099.087607,2.98,3.78,4.35,1.67,2.7,2.8,-0.36
CCl_CNOO_CNMeMe_CF_CCN_CH,-1221.646292,3.06,3.75,4.25,1.72,2.73,2.77,-0.39
CF_CNOO_CNMeMe_CF_CCN_CH,-861.295143,3.21,3.93,4.41,1.82,2.84,2.87,-0.44
CBFF_CNOO_CNMeMe_CF_CCN_CH,-986.148982,3.15,3.83,4.07,1.35,2.47,3.33,0.44
CBHH_CNOO_CNMeMe_CF_CCN_CH,-787.523405,3.02,3.88,4.02,1.4,2.48,3.3,0.22
CH_CNOO_CNMeMe_CF_CCN_CH,-762.059844,3.13,4.01,4.3,1.71,2.74,3.03,-0.3
CCHHH_CNOO_CNMeMe_CF_CCN_CH,-801.367481,3.15,3.82,4.21,1.77,2.74,2.89,-0.38
CSH_CNOO_CNMeMe_CF_CCN_CH,-1160.242669,3.16,3.77,4.02,1.7,2.66,3.29,-0.23
COCHHH_CNOO_CNMeMe_CF_CCN_CH,-876.576855,3.17,3.82,4.2,1.81,2.77,2.83,-0.45
COH_CNOO_CNMeMe_CF_CCN_CH,-837.310836,3.2,3.97,4.12,1.67,2.7,3.49,-0.13
CNHH_CNOO_CNMeMe_CF_CCN_CH,-817.438414,3.25,3.96,4.1,1.77,2.78,3.3,-0.3
CSiHHH_CNOO_CNMeMe_CF_CCN_CH,-1052.732219,3.08,4.04,4.12,1.66,2.67,3.17,-0.24
CNMeMe_CNOO_CNMeMe_CF_CCN_CH,-896.023846,3.18,3.85,4.05,1.78,2.8,3.18,-0.38
CBFF_CNOO_CNMeMe_CF_CNOO_CH,-1098.389704,3.04,3.69,3.85,1.28,2.38,2.49,0.49
CBFF_CNOO_CNMeMe_CF_CCFFF_CH,-1230.963561,3.26,3.98,4.11,1.41,2.6,3.56,0.43
CBFF_CNOO_CNMeMe_CF_CCl_CH,-1353.51534,3.37,3.87,4.19,1.59,2.6,3.37,0.2
CBFF_CNOO_CNMeMe_CF_CF_CH,-993.154849,3.5,4.03,4.25,1.69,2.7,3.48,0.12
CBFF_CNOO_CNMeMe_CF_CBFF_CH,-1117.989938,3.07,3.81,4.04,1.28,2.45,3.45,0.52
CBFF_CNOO_CNMeMe_CF_CBHH_CH,-919.345559,2.91,3.69,4,1.21,2.34,3.35,0.5
CBFF_CNOO_CNMeMe_CF_CH_CH,-893.918283,3.34,3.93,4.17,1.52,2.59,3.55,0.31
CBFF_CNOO_CNMeMe_CF_CSiHHH_CH,-1184.595293,3.28,3.87,4.13,1.49,2.57,3.51,0.3
CBFF_CNOO_CNMeMe_CF_CCHHH_CH,-933.231093,3.41,3.92,4.21,1.62,2.64,3.48,0.16
CBFF_CNOO_CNMeMe_CF_CSH_CH,-1292.109288,3.37,3.73,4.24,1.71,2.54,3.1,-0.05
CBFF_CNOO_CNMeMe_CF_COCHHH_CH,-1008.437645,3.53,4,4.31,1.77,2.79,3.34,-0.02
CBFF_CNOO_CNMeMe_CF_COH_CH,-969.152448,3.59,4.01,4.34,1.88,2.72,3.28,-0.17
CBFF_CNOO_CNMeMe_CF_CNHH_CH,-949.291285,3.58,4.01,4.4,1.92,2.8,3.08,-0.26
CBFF_CNOO_CNMeMe_CF_CNMeMe_CH,-1027.876142,3.52,3.94,4.29,1.77,2.79,2.94,-0.01
CBFF_CNOO_CNMeMe_CF_CBFF_CNOO,-1322.466352,3.22,3.76,3.97,1.42,2.47,2.85,0.38
CBFF_CNOO_CNMeMe_CF_CBFF_CCN,-1210.220271,3.05,3.75,4.02,1.27,2.35,3.27,0.52
CBFF_CNOO_CNMeMe_CF_CBFF_CCFFF,-1455.032637,3.29,4.02,4.09,1.45,2.64,3.53,0.39
CBFF_CNOO_CNMeMe_CF_CBFF_CCl,-1577.580403,3.04,3.62,4.01,1.29,2.34,3.42,0.47
CBFF_CNOO_CNMeMe_CF_CBFF_CF,-1217.222341,3.02,3.72,4.01,1.24,2.39,3.54,0.53
CBFF_CNOO_CNMeMe_CF_CBFF_CBFF,-1342.061422,3.3,4.02,4.08,1.49,2.52,3.39,0.33
CBFF_CNOO_CNMeMe_CF_CBFF_CBHH,-1143.418283,3.28,3.81,4.02,1.52,2.38,3.28,0.25
CBFF_CNOO_CNMeMe_CF_CBFF_CSiHHH,-1408.660377,3.25,3.89,4.11,1.47,2.55,3.45,0.32
CBFF_CNOO_CNMeMe_CF_CBFF_CCHHH,-1157.293385,3.03,3.67,4.02,1.3,2.38,3.45,0.44
CBFF_CNOO_CNMeMe_CF_CBFF_CSH,-1516.168854,2.82,3.38,3.98,1.19,2.06,3.35,0.43
CBFF_CNOO_CNMeMe_CF_CBFF_COCHHH,-1232.496111,3.01,3.68,4.02,1.27,2.34,3.5,0.48
CBFF_CNOO_CNMeMe_CF_CBFF_COH,-1193.217733,2.88,3.56,4,1.19,2.21,3.51,0.51
CBFF_CNOO_CNMeMe_CF_CBFF_CNHH,-1173.34632,2.7,3.32,3.96,1.21,1.92,3.48,0.28
CBFF_CNOO_CNMeMe_CF_CBFF_CNMeMe,-1251.930029,3.05,3.39,4.07,1.46,2.19,3.48,0.13
CBFF_CNOO_CNOO_CF_CBFF_CF,-1287.721955,3.39,3.66,3.8,2.13,2.17,2.47,-0.86
CBFF_CNOO_CCN_CF_CBFF_CF,-1175.488116,3.31,3.64,3.69,2.02,2.07,3.14,-0.73
CBFF_CNOO_CCFFF_CF_CBFF_CF,-1420.298262,3.28,3.73,3.85,1.98,2.2,3.17,-0.68
CBFF_CNOO_CCl_CF_CBFF_CF,-1542.85523,3.41,3.63,3.71,1.97,2.2,3.22,-0.52
CBFF_CNOO_CF_CF_CBFF_CF,-1182.490074,3.55,3.81,3.84,2.05,2.3,3.28,-0.56
CBFF_CNOO_CBFF_CF_CBFF_CF,-1307.332562,3.29,3.77,3.95,2.01,2.17,3.19,-0.72
CBFF_CNOO_CBHH_CF_CBFF_CF,-1108.703233,3.58,3.88,4.3,2.16,2.28,2.98,-0.75
CBFF_CNOO_CH_CF_CBFF_CF,-1083.263043,3.33,3.82,3.83,2.04,2.19,3.22,-0.74
CBFF_CNOO_CSiHHH_CF_CBFF_CF,-1373.94383,3.26,3.69,3.84,1.98,2.13,3.25,-0.69
CBFF_CNOO_CCHHH_CF_CBFF_CF,-1122.577368,3.39,3.7,3.85,2.02,2.14,3.33,-0.65
CBFF_CNOO_CSH_CF_CBFF_CF,-1481.454026,3.11,3.53,3.91,1.57,2.23,3.39,-0.02
CBFF_CNOO_COCHHH_CF_CBFF_CF,-1197.775007,3.41,3.7,3.81,1.68,2.35,3.32,0.05
CBFF_CNOO_COH_CF_CBFF_CF,-1158.494511,3.34,3.7,4.18,1.75,2.3,3.48,-0.16
CBFF_CNOO_CNHH_CF_CBFF_CF,-1138.639887,3.26,3.83,4.16,1.53,2.43,3.64,0.2
CF_CH_CNOO_CSH_CCFFF_CCl,-1730.695351,3.78,3.91,4.16,2.45,2.65,2.83,-1.11
CF_CH_CCN_CSH_CCFFF_CCl,-1618.453785,3.84,4.18,5.8,2.48,2.74,4.76,-1.12
CF_CH_CCFFF_CSH_CCFFF_CCl,-1863.266829,3.96,4.31,5.82,2.51,2.94,5.07,-1.06
CF_CH_CCl_CSH_CCFFF_CCl,-1985.814531,3.78,4.27,5.68,2.5,2.71,5.07,-1.22
CF_CH_CF_CSH_CCFFF_CCl,-1625.45183,3.89,4.35,5.67,2.52,2.77,5.22,-1.16
CF_CH_CBFF_CSH_CCFFF_CCl,-1750.295277,3.83,4.24,5.76,2.45,2.87,4.76,-1.07
CF_CH_CBHH_CSH_CCFFF_CCl,-1551.652193,3.76,4.15,5.36,2.43,2.77,4.32,-1.09
CF_CH_CH_CSH_CCFFF_CCl,-1526.217879,3.9,4.35,5.72,2.54,2.82,5.18,-1.18
CF_CH_CSiHHH_CSH_CCFFF_CCl,-1816.895577,3.87,4.29,5.71,2.52,2.82,5.09,-1.17
CF_CH_CCHHH_CSH_CCFFF_CCl,-1565.528249,3.83,4.34,5.65,2.55,2.73,5.2,-1.28
CF_CH_CSH_CSH_CCFFF_CCl,-1924.401735,3.45,4.27,5.04,2.28,2.68,4.86,-1.1
CF_CH_COCHHH_CSH_CCFFF_CCl,-1640.724327,3.82,4.34,5.41,2.51,2.74,5.17,-1.21
CF_CH_COH_CSH_CCFFF_CCl,-1601.438955,3.68,4.35,5.36,2.34,2.76,5.16,-1
CF_CH_CNHH_CSH_CCFFF_CCl,-1581.574273,3.33,4.36,5.04,2.06,2.75,4.97,-0.79
CF_CH_CNMeMe_CSH_CCFFF_CCl,-1660.161936,3.41,4.31,5.24,2.21,2.75,4.64,-1.02
CF_CNOO_CNHH_CSH_CCFFF_CCl,-1786.060791,3.4,3.93,4.17,1.89,2.72,3.01,-0.39
CF_CCN_CNHH_CSH_CCFFF_CCl,-1673.815768,3.29,4.18,5.29,1.91,2.71,4.74,-0.54
CF_CCFFF_CNHH_CSH_CCFFF_CCl,-1918.62429,3.47,4.29,5.35,2.03,2.85,4.91,-0.6
CF_CCl_CNHH_CSH_CCFFF_CCl,-2041.168678,3.15,4.29,4.97,2.02,2.65,4.86,-0.89
CF_CF_CNHH_CSH_CCFFF_CCl,-1680.803704,3.18,4.4,4.89,2.1,2.66,4.79,-1.01
CF_CBFF_CNHH_CSH_CCFFF_CCl,-1805.6573,3.4,4.19,5.24,1.9,2.83,4.63,-0.41
CF_CBHH_CNHH_CSH_CCFFF_CCl,-1607.014142,3.27,4.04,4.74,1.77,2.7,3.99,-0.27
CF_CSiHHH_CNHH_CSH_CCFFF_CCl,-1872.253665,3.29,4.3,5.09,2.01,2.76,4.94,-0.73
CF_CCHHH_CNHH_CSH_CCFFF_CCl,-1620.88004,3.19,4.37,4.86,2.09,2.69,4.81,-0.98
CF_CSH_CNHH_CSH_CCFFF_CCl,-1979.757223,3.24,4.19,4.53,2.02,2.71,4.36,-0.79
CF_COCHHH_CNHH_CSH_CCFFF_CCl,-1696.07698,3.1,4.36,4.85,2.04,2.65,4.78,-0.99
CF_COH_CNHH_CSH_CCFFF_CCl,-1656.792796,2.79,4.44,4.58,1.85,2.65,4.52,-0.9
CF_CNHH_CNHH_CSH_CCFFF_CCl,-1636.928133,2.98,4.59,4.74,2,2.98,4.69,-1.03
CF_CNMeMe_CNHH_CSH_CCFFF_CCl,-1715.511896,3.17,3.8,4.33,2.04,2.69,3.76,-0.9
CF_CBHH_CNHH_CNOO_CCFFF_CCl,-1413.301023,3.05,3.82,4.28,1.81,2.45,2.63,-0.56
CF_CBHH_CNHH_CCN_CCFFF_CCl,-1301.060157,3.18,4.31,4.84,1.81,2.68,3.89,-0.43
CF_CBHH_CNHH_CCFFF_CCFFF_CCl,-1545.867546,3.25,4.42,4.93,1.89,2.7,3.99,-0.53
CF_CBHH_CNHH_CCl_CCFFF_CCl,-1668.427766,3.39,4.33,4.9,1.9,2.79,4.04,-0.41
CF_CBHH_CNHH_CF_CCFFF_CCl,-1308.078627,3.55,4.51,5,1.99,2.9,4.13,-0.43
CF_CBHH_CNHH_CBFF_CCFFF_CCl,-1432.89918,3.33,4.38,4.89,1.88,2.72,4.03,-0.43
CF_CBHH_CNHH_CBHH_CCFFF_CCl,-1234.258984,3.42,4.26,4.54,1.89,2.76,4.03,-0.36
CF_CBHH_CNHH_CH_CCFFF_CCl,-1208.836428,3.52,4.49,5,1.99,2.86,4.12,-0.45
CF_CBHH_CNHH_CSiHHH_CCFFF_CCl,-1499.502846,3.34,4.3,4.87,1.87,2.72,4.03,-0.4
CF_CBHH_CNHH_CCHHH_CCFFF_CCl,-1248.144948,3.43,4.33,4.91,1.9,2.79,4.09,-0.38
CF_CBHH_CNHH_COCHHH_CCFFF_CCl,-1323.357055,3.5,4.28,4.85,1.91,2.83,4.07,-0.33
CF_CBHH_CNHH_COH_CCFFF_CCl,-1284.070019,3.45,4.28,4.9,1.88,2.82,4.15,-0.3
CF_CBHH_CNHH_CNHH_CCFFF_CCl,-1264.204054,3.38,4.12,4.76,1.84,2.77,4.09,-0.29
CF_CBHH_CNHH_CNMeMe_CCFFF_CCl,-1342.791939,3.3,3.95,4.45,1.85,2.69,3.91,-0.41
CNOO_CBFF_CBHH_CBHH_CH_CSH,-1109.754643,1.97,3.41,3.59,0.81,2,2.98,0.35
CCN_CBFF_CBHH_CBHH_CH_CSH,-997.50152,2.3,3.85,4.33,1.36,2.28,3.87,-0.42
CCFFF_CBFF_CBHH_CBHH_CH_CSH,-1242.311396,2.38,4.05,4.45,1.49,2.43,4.03,-0.6
CCl_CBFF_CBHH_CBHH_CH_CSH,-1364.865248,2.33,3.78,4.37,1.41,2.24,3.91,-0.49
CF_CBFF_CBHH_CBHH_CH_CSH,-1004.50533,2.42,3.93,4.66,1.45,2.28,3.99,-0.47
CBFF_CBFF_CBHH_CBHH_CH_CSH,-1129.336061,2.33,3.81,4.1,1.43,2.34,3.7,-0.52
CBHH_CBFF_CBHH_CBHH_CH_CSH,-930.6872,2.27,3.59,3.82,1.34,2.29,3.38,-0.4
CH_CBFF_CBHH_CBHH_CH_CSH,-905.263904,2.42,3.95,4.19,1.54,2.24,3.91,-0.65
CCHHH_CBFF_CBHH_CBHH_CH_CSH,-944.566388,2.4,3.89,4.28,1.51,2.29,3.92,-0.62
CSH_CBFF_CBHH_CBHH_CH_CSH,-1303.448892,2.88,4.23,4.54,1.97,2.61,4.04,-1.07
COCHHH_CBFF_CBHH_CBHH_CH_CSH,-1019.78254,2.2,3.52,4.33,1.11,2.09,3.74,-0.02
COH_CBFF_CBHH_CBHH_CH_CSH,-980.49392,3.15,3.77,4.16,1.91,2.38,3.99,-0.67
CNHH_CBFF_CBHH_CBHH_CH_CSH,-960.620931,2.75,4.1,4.31,1.87,2.42,4.05,-1
CSiHHH_CBFF_CBHH_CBHH_CH_CSH,-1195.933804,2.41,3.52,4.04,1.54,2.31,3.44,-0.66
CNMeMe_CBFF_CBHH_CBHH_CH_CSH,-1039.214855,2.8,4.03,4.13,1.96,2.43,3.8,-1.13
CNOO_CBFF_CNOO_CBHH_CH_CSH,-1288.808177,2.24,3.65,3.71,1.34,2.33,2.58,-0.44
CNOO_CBFF_CCN_CBHH_CH_CSH,-1176.557095,2.3,3.59,3.75,1.4,2.16,2.8,-0.5
CNOO_CBFF_CCFFF_CBHH_CH_CSH,-1421.372352,2.38,3.74,3.79,1.43,2.38,2.86,-0.48
CNOO_CBFF_CCl_CBHH_CH_CSH,-1543.924034,2.33,3.54,3.79,1.57,2.04,2.87,-0.81
CNOO_CBFF_CF_CBHH_CH_CSH,-1183.563384,2.51,3.62,3.82,1.71,2.12,2.87,-0.91
CNOO_CBFF_CBFF_CBHH_CH_CSH,-1308.399849,2.27,3.7,3.7,1.3,2.3,2.84,-0.33
CNOO_CBFF_CH_CBHH_CH_CSH,-1084.324309,2.41,3.63,3.83,1.51,2.26,2.88,-0.61
CNOO_CBFF_CSiHHH_CBHH_CH_CSH,-1374.999805,2.3,3.64,3.73,1.42,2.22,2.9,-0.55
CNOO_CBFF_CCHHH_CBHH_CH_CSH,-1123.637234,2.4,3.58,3.8,1.61,2.13,2.9,-0.81
CNOO_CBFF_CSH_CBHH_CH_CSH,-1482.514976,2.36,3.33,3.72,1.71,1.75,2.85,-1.06
CNOO_CBFF_COCHHH_CBHH_CH_CSH,-1198.836779,2.46,3.43,3.74,1.71,1.87,2.89,-0.95
CNOO_CBFF_COH_CBHH_CH_CSH,-1159.561849,2.61,3.51,3.76,1.81,2,2.91,-1.01
CNOO_CBFF_CNHH_CBHH_CH_CSH,-1139.700411,2.63,3.67,3.76,1.53,2.48,2.98,-0.44
CNOO_CBFF_CNMeMe_CBHH_CH_CSH,-1218.291695,1.85,3.24,4.05,0.43,1.93,3.53,0.99
CNOO_CBFF_CNMeMe_CBHH_CNOO_CSH,-1422.795179,2.11,2.95,3.44,0.99,1.66,2.45,0.12
CNOO_CBFF_CNMeMe_CBHH_CCN_CSH,-1310.530276,1.92,3.42,3.78,0.85,2.04,2.89,0.22
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CSH,-1555.337433,1.84,3.18,3.98,-0.22,1.88,3.43,2.27
CNOO_CBFF_CNMeMe_CBHH_CCl_CSH,-1677.882798,1.91,3.3,4.01,0.22,2,3.45,1.46
CNOO_CBFF_CNMeMe_CBHH_CF_CSH,-1317.528617,1.83,3.24,4.09,0.54,1.95,3.56,0.76
CNOO_CBFF_CNMeMe_CBHH_CBFF_CSH,-1442.370051,1.83,3.15,3.93,-0.12,1.78,3.39,2.07
CNOO_CBFF_CNMeMe_CBHH_CBHH_CSH,-1243.727775,1.78,3.08,3.86,0.21,1.62,3.32,1.37
CNOO_CBFF_CNMeMe_CBHH_CSiHHH_CSH,-1508.969702,1.85,3.22,3.99,0.5,1.9,3.52,0.85
CNOO_CBFF_CNMeMe_CBHH_CCHHH_CSH,-1257.605941,1.91,3.29,4.08,0.66,2.06,3.55,0.59
CNOO_CBFF_CNMeMe_CBHH_CSH_CSH,-1616.477785,2.08,3.37,3.76,0.64,2.11,3.28,0.79
CNOO_CBFF_CNMeMe_CBHH_COCHHH_CSH,-1332.793027,2.72,3.69,3.74,1.87,2.41,2.55,-1.02
CNOO_CBFF_CNMeMe_CBHH_COH_CSH,-1293.524219,2.14,3.81,3.93,1.18,2.42,2.77,-0.22
CNOO_CBFF_CNMeMe_CBHH_CNHH_CSH,-1273.674832,2.22,3.67,4.07,1.27,2.22,3.65,-0.32
CNOO_CBFF_CNMeMe_CBHH_CNMeMe_CSH,-1352.261538,2.23,3.52,3.89,1.36,2,3.56,-0.49
CNOO_CNOO_CNMeMe_CBHH_CCFFF_CSH,-1535.722627,2.52,3.27,3.65,1.36,2.04,2.72,-0.19
CNOO_CCN_CNMeMe_CBHH_CCFFF_CSH,-1423.485679,2.39,3.39,3.59,1.34,2.08,2.82,-0.29
CNOO_CCFFF_CNMeMe_CBHH_CCFFF_CSH,-1668.29292,2.52,3.34,3.69,1.4,2.09,2.83,-0.29
CNOO_CCl_CNMeMe_CBHH_CCFFF_CSH,-1790.836182,2.13,3.35,3.5,1.34,1.89,2.78,-0.54
CNOO_CF_CNMeMe_CBHH_CCFFF_CSH,-1430.475627,2.2,3.4,3.57,1.54,1.88,2.8,-0.87
CNOO_CBHH_CNMeMe_CBHH_CCFFF_CSH,-1356.69243,1.33,2.96,3.49,0.85,1.43,2.73,-0.37
CNOO_CH_CNMeMe_CBHH_CCFFF_CSH,-1331.252797,2.33,3.38,3.69,1.44,1.96,2.89,-0.55
CNOO_CSiHHH_CNMeMe_CBHH_CCFFF_CSH,-1621.925347,2.22,3.32,3.69,1.23,2,2.89,-0.24
CNOO_CCHHH_CNMeMe_CBHH_CCFFF_CSH,-1370.55041,2.12,3.32,3.62,1.39,1.86,2.85,-0.65
CNOO_CSH_CNMeMe_CBHH_CCFFF_CSH,-1729.427333,2.21,3.12,3.32,1.32,1.92,2.72,-0.42
CNOO_COCHHH_CNMeMe_CBHH_CCFFF_CSH,-1445.749435,2.14,3.31,3.45,1.52,1.88,2.81,-0.91
CNOO_COH_CNMeMe_CBHH_CCFFF_CSH,-1406.468903,1.59,3.12,3.58,1.11,1.67,2.82,-0.63
CNOO_CNHH_CNMeMe_CBHH_CCFFF_CSH,-1386.599321,1.6,3,3.42,0.84,1.96,2.88,-0.07
CNOO_CNMeMe_CNMeMe_CBHH_CCFFF_CSH,-1465.179248,1.64,2.83,3.24,1.16,1.76,2.5,-0.69
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CNOO,-1361.62082,1.91,3.53,3.82,-0.49,2.42,2.62,2.89
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CCN,-1249.383437,1.88,3.47,3.8,-0.4,2.29,3.31,2.69
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CCFFF,-1494.190374,1.9,3.56,3.84,-0.41,2.44,3.33,2.72
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CCl,-1616.744396,1.95,3.47,3.91,-0.32,2.25,3.41,2.59
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CF,-1256.386554,2,3.6,3.97,-0.35,2.33,3.45,2.71
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CBFF,-1381.224853,1.98,3.63,3.9,-0.2,2.48,3.44,2.38
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CBHH,-1182.582033,2.11,3.78,3.95,0.93,2.59,2.93,0.26
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CH,-1157.157208,2.02,3.69,3.96,0.2,2.5,3.49,1.63
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CSiHHH,-1447.828991,1.99,3.58,3.94,0.31,2.41,3.46,1.38
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CCHHH,-1196.460994,1.99,3.56,3.98,0.17,2.33,3.5,1.64
CNOO_CBFF_CNMeMe_CBHH_CCFFF_COCHHH,-1271.667941,1.96,3.41,4.07,0.28,2.07,3.54,1.41
CNOO_CBFF_CNMeMe_CBHH_CCFFF_COH,-1232.385016,1.98,3.48,4.07,0.23,2.14,3.54,1.52
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CNHH,-1212.516136,1.76,3.27,4.1,0.43,1.7,3.51,0.91
CNOO_CBFF_CNMeMe_CBHH_CCFFF_CNMeMe,-1291.100425,1.76,3.09,4.04,0.4,1.65,3.46,0.96
CNOO_CBFF_CNMeMe_CNOO_CCFFF_CNOO,-1540.646418,2,3.72,3.75,0.65,2.53,2.59,0.7
CNOO_CBFF_CNMeMe_CCN_CCFFF_CNOO,-1428.410892,1.99,3.81,3.88,0.53,2.62,2.66,0.93
CNOO_CBFF_CNMeMe_CCFFF_CCFFF_CNOO,-1673.218459,1.94,3.78,3.85,0.42,2.53,2.59,1.1
